,evaluation,score
0,2d_movement,0.694047619047619
1,3d_globe_movement,0.02802965403383332
2,3d_object_manipulation,0.06938083004204651
3,aba_mrpc_true_false,0.4255203495136362
4,abstract2title,0.3120886535885604
5,accounting_audit,0.6666666666666666
6,actors-sequence,0.4882511081762013
7,adultery-state-laws,0.014495058286480266
8,afrikaans-lexicon,1.0
9,aime_evaluation,0.014766357971436028
10,algebra_word_problems,0.72
11,alternate_numeral_systems,0.010085336100975773
12,ambiguous-sentences,0.26747111763365633
13,anagrams,0.2032911270934903
14,arc,0.4142202432210581
15,ascii-digit-recognition,0.03744911804613297
16,asl-classifiers,0.004619049040897627
17,astro_eval,0.005337094584145996
18,atpl_exams,0.5
19,automata-and-complexity,0.007372044965569207
20,balance_chemical_equation,0.6435925336243413
21,banking77,0.6752645502645503
22,benjaminmoore_to_hex,0.006344354993222445
23,bigrams,0.40606060606060607
24,bitwise,0.3315384615384615
25,blackfoot-numerals-modern,0.010627574990280896
26,brazilian_laws,0.17026526825086954
27,building_floorplan,0.9362573099415206
28,cardinal-directions,0.3400000000000001
29,categorize_with_distractors,0.7184817029097526
30,cissp-study-questions,0.05089418139050491
31,code_combination,0.7043221035529421
32,code_progress,0.823076923076923
33,compare-countries-area,0.4777380952380953
34,comprehensive-graph-reasoning,0.2309628558847216
35,connect4,0.6
36,consensus_summary,0.2300538519655122
37,context-free-grammar,0.007899567199857438
38,convert-hex-hsl-lightness,0.7836831875334991
39,coqa,0.19422259078756207
40,count_intersections_polynomial,0.4
41,count_token_freq_dna,0.6833333333333333
42,countries,0.17999999999999997
43,crepe,0.5734890109890111
44,cricket_situations,0.8
45,crontab,0.9694805194805195
46,cube-pack,0.6152777777777778
47,date-booking,0.7104521699613724
48,date-calculator,0.3767806267806268
49,day-of-week-from-date,0.5751984126984127
50,decrypt_caesar_cipher,0.3472905917117622
51,determinant,0.3525649712606234
52,dhammapada-reference,0.010692404734391425
53,diabetes,0.6
54,diagrammatic_logic,0.11999999999999997
55,dice-rotation-sequence,0.2
56,direct-speech-tag,0.9283140659014165
57,directions,0.8392857142857142
58,dna_melting_calculation,0.30000000000000004
59,emotional-intelligence,0.579047619047619
60,escher_sentences,0.5
61,european_date_format_challenge,0.4416666666666667
62,event_categories,0.0299144408811298
63,fcc_amateur_extra,0.8014925373134328
64,finance_calc,0.0032505426598599674
65,find-letter,0.5166666666666667
66,find_country_from_svg,0.050149267254530415
