,evaluation,score
0,2d_movement,0.7047619047619047
1,3d_globe_movement,0.006140243059509632
2,3d_object_manipulation,0.0658355298992193
3,GOL,0.10591329204680458
4,aba_mrpc_true_false,0.007288730325684933
5,abstract2title,0.2671113252169374
6,accounting_audit,0.0019911744289730082
7,actors-sequence,0.20767696455493115
8,adultery-state-laws,0.00408428459080924
9,afrikaans-lexicon,0.7
10,aime_evaluation,0.001170900146166054
11,algebra_word_problems,0.018768337192398767
12,alternate_numeral_systems,0.010337424915554371
13,ambiguous-sentences,0.026572953675098942
14,anagrams,0.17125796688615777
15,arc,0.08530966061256699
16,arithmetic-expression,0.005232944513292292
17,ascii-digit-recognition,0.005312724477566288
18,asl-classifiers,0.0023370344125607347
19,astro_eval,0.003544076885013603
20,atpl_exams,0.01438647559337215
21,automata-and-complexity,0.002626723568095568
22,balance_chemical_equation,0.12093953555661416
23,banking77,0.16825920690373145
24,benjaminmoore_to_hex,0.024449325178682545
25,bigrams,0.0010741833618056694
26,bitwise,0.2764524566880322
27,blackfoot-numerals-modern,0.003502260640539301
28,brazilian_laws,0.16091031188431676
29,building_floorplan,0.7857142857142857
30,cardinal-directions,0.5900000000000001
31,categorize_with_distractors,0.399877826956014
32,chinese-remainder-theorem,0.034627458927379985
33,chinese_zodiac,0.01839703982297607
34,cissp-study-questions,0.0014942606672515124
35,code_combination,0.5092347606853962
36,code_progress,0.017674184109735057
37,compare-countries-area,0.0713660025576673
38,complex_replace_characters,0.15866349923871895
39,comprehensive-graph-reasoning,0.12695439482086313
40,connect4,0.0011164902727948457
41,consensus_summary,0.13190145756775654
42,context-free-grammar,0.02597331033570981
43,convert-hex-hsl-lightness,0.9647058823529411
44,coqa,0.1954484006228306
45,count_intersections_polynomial,0.007695197303443657
46,count_token_freq_dna,0.03150195761660729
47,countries,0.0025457370982282955
48,crepe,0.02921447586728798
49,cricket_situations,0.1
50,crontab,0.3778687116376761
51,cube-pack,0.16114010989010985
52,date-booking,0.04787242972939855
53,date-calculator,0.18327436208158043
54,day-of-week-from-date,0.40971925133689846
55,decrypt_caesar_cipher,0.11984061984877788
56,determinant,0.03740435038252711
57,dhammapada-reference,0.01014314692090743
58,diabetes,0.0009684738953179339
59,diagrammatic_logic,0.002116192480997947
60,dice-rotation-sequence,0.0038518518518518507
61,direct-speech-tag,0.6896580699331345
62,directions,0.0360169322660131
63,dna_melting_calculation,0.009349173081221596
64,dutch-lexicon,0.5
65,dutch-rhymes,0.2219986631016043
66,emotional-intelligence,0.005806417137276476
67,escher_sentences,0.4
68,european_date_format_challenge,0.28812260536398465
69,event_categories,0.028458913088917247
70,fcc_amateur_extra,0.2070707070707071
71,finance_calc,0.0030045195864652928
72,find-letter,0.03237983494364229
73,find_country_from_svg,0.021928948948884797
74,finger-tracking,0.035472987057015626
75,finnish-rhyme,0.033864078992109935
76,first-letters,0.08206096539951943
77,food,0.825
78,forth_stack_sim,0.05955014576036488
79,french-lexicon,0.4
80,french-part-of-speech,0.12328975109857465
81,french_homonym_and_homograph,0.23333333333333334
82,game_theory,0.11804009599051057
83,gears_rotation,0.015820427323288477
84,geometry_puzzle,0.001506382929219696
85,german-part-of-speech,0.23710601404741
86,gpt-protocol-buffers,0.09736105802947728
87,gregorian-to-hebrew-date,0.11834430625840157
88,heart-disease,0.10076335877862594
89,illinois-law,0.0064653966288833135
90,imperial_date_to_string,0.41502167659552713
91,integer-sequence-predictions,0.21519746297551742
92,internal_representations,0.006755715386591321
93,invoice_due_date_leap_day_adjustment,0.5513788557518955
94,irish_plural_nouns,0.45229819757796796
95,isosceles-right-triangle,0.034404402849905535
96,italian-new-words,0.2
97,italian_big_math_expression,0.06531110319481233
98,italian_rhyme,0.04156626090620176
99,japanese_mahjong_discard_tile,0.0
100,json_patch_object,0.19416583627773193
101,largest_country,0.30169866690382274
102,last_word_nth,0.16090218479960833
103,latin_grammar,0.1443276664152751
104,linear-regression,0.01297940750975437
105,linear_equations,0.11050106833279214
106,list_comparison_missing_name,0.09339963365315479
107,logic,0.15056635018031334
108,logic-container,0.12825315075815594
109,logic-liar-paradox,0.27717098102104665
110,logical-black-scholes,0.003910345254430214
111,logical_counting,0.01194805194805194
112,logical_reasoning_letter_series_test,0.004952157532117219
113,loss_logic,0.2734152134790615
114,mandaliof-table,0.014253394432779454
115,map-electronic-component-part-to-fact,0.012127415441643974
116,mapping_to_matricies,0.06760406441717076
117,mate-in-one,0.04222676800794443
118,math_for_5th-grader,0.008241814213846977
119,math_logic_operations,0.00920016579859918
120,math_polish,0.05740901421299024
121,matrix_mult_rows,0.0021739130434782596
122,medication_dose,0.020835602182863656
123,mendelian_inheritance,0.100933278298832
124,missing_operators,0.0807468755322571
125,monthly_metric_comparison,0.02413939530264352
126,moral_exceptQA,0.004667629714163768
127,multi-step-equations,0.008032654037925213
128,multistep-word-problems,0.00945642668168809
129,music_theory_scale_modes,0.08750058806422685
130,naughty_strings,0.35154515938679004
131,ner_finance,0.045342100698599765
132,newsology,0.16196871444341582
133,nfl-point-combinations,0.0019032728718614167
134,norwegian-lexicon,0.4
135,norwegian-rhymes,0.051770146669118264
136,number_series_test,0.007051727443677791
137,numbers_game,0.06314876906494929
138,numeral-type-comparisons,0.0015459579010558388
139,ordered-history-events,0.01275628347704807
140,ordering_randomised_versionlist,0.012767933033138158
141,override-system-instruction,0.10139792231255647
142,pantone_to_hex,0.025229535405049096
