,model,score,total_score,total_questions
0,gpt-3.5-turbo,0.3328607569084719,1971.80818415302,2156
1,gpt-4,0.3749931756472619,72.90714285714286,88
2,llama-1-13b,0.0065288356909684,1.0,1
3,llama-2-13b,-1.0,0.0,0
4,llama-2-70b-chat,0.1300338492065426,2087.140476190476,2142
5,vicuna-1-13b,-1.0,0.0,0
6,vicuna-1.5-13b,-1.0,0.0,0
7,vicuna-1-33b,-1.0,0.0,0
8,claude-2,-1.0,0.0,0
9,claude-instant,-1.0,0.0,0
10,bard,-1.0,0.0,0
11,luminous-supreme-control,-1.0,0.0,0
12,cohere-chat,-1.0,0.0,0
13,falcon-40b,-1.0,0.0,0
14,mpt-30b,-1.0,0.0,0
15,inflection-1,-1.0,0.0,0
16,palm-2,-1.0,0.0,0
17,autoauto,0.5325793650793651,5.325793650793651,10
