,evaluation,score
0,2d_movement,0.6464285714285715
1,3d_globe_movement,0.01700305141394739
2,3d_object_manipulation,0.0474088595472014
3,GOL,0.45925925925925937
4,aba_mrpc_true_false,0.011035565191420982
5,abstract2title,0.3330780973321928
6,accounting_audit,0.4
7,actors-sequence,0.15005219873419215
8,adultery-state-laws,0.011588836940570946
9,afrikaans-lexicon,1.0
10,aime_evaluation,0.001694289142810479
11,algebra_word_problems,0.72
12,alternate_numeral_systems,0.007693851775044979
13,ambiguous-sentences,0.18289774878114493
14,anagrams,0.4312632296781233
15,arc,0.1378074537277835
16,arithmetic-expression,0.0035852694403093023
17,ascii-digit-recognition,0.002777777777777779
18,asl-classifiers,0.0013594786774533741
19,astro_eval,0.0044360461515657755
20,atpl_exams,0.5
21,automata-and-complexity,0.0041308457333887215
22,balance_chemical_equation,0.6383303061043697
23,banking77,0.7188552188552189
24,benjaminmoore_to_hex,0.01426467174912649
25,bigrams,0.005309139784946237
26,bitwise,0.2
27,blackfoot-numerals-modern,0.0025514778448025967
28,brazilian_laws,0.23560385867345426
29,building_floorplan,0.9301169590643275
30,cardinal-directions,0.4600000000000001
31,categorize_with_distractors,0.7281162381321586
32,chinese-remainder-theorem,0.03788785834008087
33,chinese_zodiac,0.575
34,cissp-study-questions,0.05089418139050491
35,code_combination,0.8681590343646116
36,code_progress,0.7536324786324787
37,compare-countries-area,0.6042735042735043
38,complex_replace_characters,0.17274526544250374
39,comprehensive-graph-reasoning,0.12018487951669636
40,connect4,0.008759084714967048
41,consensus_summary,0.2422203019580556
42,context-free-grammar,0.010695135849969572
43,convert-hex-hsl-lightness,0.8013876319758673
44,coqa,0.21788163628736845
45,count_intersections_polynomial,0.0
46,count_token_freq_dna,0.6683333333333333
47,countries,0.019999999999999997
48,crepe,0.0596846836640504
49,cricket_situations,0.3
50,crontab,0.94011544011544
51,cube-pack,0.6375
52,date-booking,0.7094447588505314
53,date-calculator,0.3653846153846153
54,day-of-week-from-date,0.5013888888888889
55,decrypt_caesar_cipher,0.46389746739857884
56,determinant,0.06368238718034983
57,dhammapada-reference,0.010664703719219348
58,diabetes,0.7
59,diagrammatic_logic,0.059999999999999984
60,dice-rotation-sequence,0.0
61,direct-speech-tag,0.8853871644215623
62,directions,0.7463133640552996
63,dna_melting_calculation,0.02217049726202952
64,dutch-lexicon,0.4
65,dutch-rhymes,0.4
66,emotional-intelligence,0.5439188936554189
67,escher_sentences,0.7
68,european_date_format_challenge,0.35277777777777775
69,event_categories,0.0883948523770136
70,fcc_amateur_extra,0.4192982456140351
71,finance_calc,0.002531404094084777
72,find-letter,0.5333333333333334
73,find_country_from_svg,0.05655927999924679
74,finger-tracking,0.04297644654305477
75,finnish-rhyme,0.3090909090909091
76,first-letters,0.9314285714285715
77,food,0.6416666666666667
78,forth_stack_sim,0.4860829593889477
79,french-lexicon,0.6
80,french-part-of-speech,0.14597638146167555
81,french_homonym_and_homograph,0.6
82,game_theory,0.4025884670002318
83,gears_rotation,0.01825637940397039
84,geometry_puzzle,0.006235538004922237
85,german-part-of-speech,0.40442055493526075
86,gpt-protocol-buffers,0.38142792975658146
